,file_path,sentence,section,0,0_span,weight_0
1247,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Social safety nets can build adaptive capacities, reduce socioeconomic vulnerability, and reduce risk linked to hazards (robust evidence, medium agreement).",HTML,vulnerability,"(71, 84)",1
1249,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Reducing future risks of involuntary migration and displacement due to climate change is possible through cooperative, international efforts to enhance institutional adaptive capacity and sustainable development (high confidence).",HTML,"displacement, migration","(51, 63), (37, 46)",2
1250,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Increasing adaptive capacity minimises risk associated with involuntary migration and immobility and improves the degree of choice under which migration decisions are made, while policy interventions can remove barriers and expand the alternatives for safe, orderly and regular migration that allows vulnerable people to adapt to climate change (high confidence).",HTML,migration,"(72, 81)",1
1263,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Clean energy supply systems have multiple co-benefits, including improvements in air quality and health.",HTML,health,"(97, 103)",1
1264,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Heat Health Action Plans that include early warning and response systems, approaches that mainstream health into Adopted Longer Report IPCC AR6 SYR Subject to Copy Edit                                                                                                                                                                        p.76 food, livelihoods, social protection, water and sanitation benefit health and well-being.",HTML,health,"(101, 107)",1
1266,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Electrification combined with low-GHG energy, and shifts to public transport can enhance health, employment, and can contribute to energy security and deliver equity.",HTML,health,"(89, 95)",1
1269,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"{WGII SPM C.1.1, WGII C.2.4, WGII SPM D.1, WGII SPM Figure SPM.4, WGII Cross-Chapter Box HEALTH in Chapter 17, WGII Cross-Chapter Box FEASIB in Chapter 18; WGIII SPM C.4.2, WGIII SPM D.1.3, WGIII SPM D.2, WGIII SPM Figure SPM.8; SRCCL SPM B.4.6} When implementing mitigation and adaptation together, and taking trade-offs into account, multiple co-benefits and synergies for human well-being as well as ecosystem and planetary health can be realised (high confidence).",HTML,health,"(427, 433)",1
1270,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"There is a strong link between sustainable development, vulnerability and climate risks.",HTML,vulnerability,"(56, 69)",1
1331,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Barriers include institutional, regulatory and market access barriers, are reduced and address the needs and opportunities, economic vulnerability and indebtedness in many developing countries.",HTML,vulnerability,"(133, 146)",1
1337,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Accelerated international financial cooperation is a critical enabler of low-GHG and just transitions, and can address inequities in access to finance and the costs of, and vulnerability to, the impacts of climate change (high confidence).",HTML,vulnerability,"(173, 186)",1
1349,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Macroeconomic barriers include, amongst others, indebtedness and economic vulnerability of developing regions.",HTML,vulnerability,"(74, 87)",1
1370,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Accelerated support from developed countries and multilateral institutions is a critical enabler to enhance mitigation and adaptation action and can address inequities in finance, including its costs, terms and conditions, and economic vulnerability to climate change.",HTML,vulnerability,"(236, 249)",1
1406,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"When such options are combined with broader sustainable development objectives, they can yield greater benefits for human well-being, social equity and justice, and ecosystem and planetary health.",HTML,health,"(189, 195)",1
1408,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,Human and ecosystem vulnerability are interdependent (high confidence).,HTML,vulnerability,"(20, 33)",1
1419,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Trade-offs in terms of employment, water use, land-use competition and biodiversity, as well as access to, and the affordability of, energy, food, and water can be avoided by well-implemented land-based mitigation options, especially those that do not threaten existing sustainable land uses and land rights, with frameworks for integrated policy implementation (high confidence){WGII SPM C.2, WGII SPM C.2.1–2.13, WGII SPM C.4.4; WGIII SPM C.6.3, WGIII SPM C.6, WGIII SPM C.7.2, WGIII SPM C.8.5, WGIII SPM D.1.2, WGIII SPM D.1.5, WGIII SPM E.1.2} Mitigation and adaptation when implemented together, and combined with broader sustainable development objectives, would yield multiple benefits for human well-being as well as ecosystem and planetary health (high confidence).",HTML,health,"(749, 755)",1
1422,D:\climate-knowedge-hunt-20230519\ipcc\syr\sections\total_pages.html,"Adaptation measures in land, ocean and ecosystems similarly can have widespread benefits for food security, nutrition, health and well-being, ecosystems and biodiversity.",HTML,"nutrition, health","(108, 117), (119, 125)",2
